"id","Bank_Name","IFSC_Code"
"357","THE BARAMATI SAHAKARI BANK LTD.","BSBX"
"358","THE BAIDYABATI SHEORAPHULI CO OPERATIVE BANK LTD.","BSCX"
"359","BALITIKURI CO-OPERATIVE BANK LTD.","BTCX"
"360","BALOTRA URBAN CO-OPERATIVE BANK LTD.","BTUX"
"361","BEAWAR URBAN CO-OPERATIVE BANK LTD.","BUCX"
"362","BARODA UTTAR PRADESH GRAMIN BANK","BUGX"
"363","THE BUNDI CENTRAL COOP BANK LTD.","BUNX"
"364","THE BUSINESS CO-OPERATIVE BANK LTD.","BUSX"
"365","BADAUN ZILA SAHAKARI BANK LTD. BUDAUN","BUZX"
"366","BHAVNAGAR DISTRICT CO OP BANK LTD.","BVNX"
"367","BHAVANI SAHAKARI BANK LTD.","BVSX"
"368","THE CALICUT CO-OPERATIVE URBAN BANK LTD.","CALX"
"369","THE CENTRAL COOPERATIVE BANK LTD. BHILWARA","CBHX"
"370","CITIZEN CREDIT CO-OPERATIVE BANK LTD.","CCBL"
"371","THE CITIZEN COOPERATIVE BANK LIMITED","CCBX"
"372","CHENNAI CENTRAL CO-OPERATIVE BANK LTD.","CCCX"
"373","THE CHENGELPATTU CO-OP URBAN BANK LTD.","CCUX"
"374","THE CUDDALORE DISTRICT CENTRAL COOPERATIVE BANK","CDCX"
"375","THE CENTRAL COOP BANK LTD. BIKANER","CEBX"
"376","CHHATTISGARH GRAMIN BANK","CGBX"
"377","CHAITANYA GODAVARI GRAMEENA BANK","CGGX"
"378","J.P.MORGAN CHASE BANK N.A","CHAS"
"379","THE CHAMBA URBAN COOPERATIVE BANK LTD. CHAMBA","CHBX"
"380","THE CHURU CENTRAL COOPERATIVE BANK LTD.","CHCX"
"381","THE CHIKHLI URBAN CO-OP BANK LTD.","CHIX"
"382","CHITTORGARH KENDRIYA SAHAKARI BANK LTD.","CHKX"
"383","CHERPALCHERI COOP URBAN BANK LTD.","CHRX"
"384","THE CHITNAVISPURA SAHAKARI BANK LTD.","CHTX"
"385","THE CITIZENS' CO-OPERATIVE BANK LTD. JAMMU","CJAX"
"386","CAPITAL SMALL FINANCE BANK LTD","CLBL"
"387","COLOUR MERCHANT'S CO-OPERATIVE BANK LTD.","CMCB"
"388","THE COIMBATORE DISTRICT CENTRAL CO-OP BANK LIMITED","CMDX"
"389","THE COMMERCIAL CO-OPERATIVE BANK LTD.","CMLX"
"390","THE CHEMBUR NAGARIK SAHAKARI BANK","CNSX"
"391","THE CO OPERATIVE CITY BANK LTD.","COCX"
"392","COASTAL LOCAL AREA BANK LTD.","COLX"
"393","THE COOP BANK OF MEHSANA LTD.","COMX"
"394","CREDIT AGRICOLE CORPORATE & INVESTMENT BANK","CRLY"
"395","CHHATTISGARH RAJYA SAHAKARI BANK MYDT","CRSX"
"396","SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP BANK","CRUB"
"397","CITIZENS CO-OPERATIVE BANK LTD.","CTBX"
"398","THE CHIPLUN URBAN COOPERATIVE BANK LTD.","CUCX"
"399","CITIZEN CO OPERATIVE BANK LTD.","CZCX"
"400","CHURU ZILA URBAN CO OPERATIVE BANK LTD.","CZUX"
"401","THE DAHOD MERCANTILE CO OPERATIVE BANK LTD.","DAHX"
"402","DR BABASAHEB AMBEDKAR SAHAKARI BANK LTD. NASIK","DBAX"
"403","DINDIGUL CENTRAL CO-OPERATIVE BANK LTD.","DCBX"
"404","THE DISTRICT COOPERATIVE CENTRAL BANK MAHABUBNAGAR","DCCX"
"405","THE DISTRICT CENTRAL COOPEARATIVE BANK LTD. KHAMMAM","DCEX"
"406","DISTRICT COOPERATIVE BANK LTD. MAINPURI","DCMX"
"407","DISTRICT CO OPERATIVE BANK LTD. PILIBHIT","DCPX"
"408","DISTRICT COOPERATIVE BANK LTD. SHAHJAHANPUR","DCSX"
"409","DISTRICT CO OPERATIVE BANK LTD. TELIYABAGH","DCTX"
"410","DARJEELING DISTRICT CENTRAL CO OPERATIVE BANK LTD.","DDCX"
"411","THE DAKSHIN DINAJPUR DISTRICT CENTRAL CO-OP BANK","DDDX"
"412","DISTRICT CO OPERATIVE BANK LTD. DEHRADUN","DDHX"
"413","DELHI NAGRIK SEHKARI BANK LTD.","DENS"
"414","DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD","DEOX"
"415","DEVELOPMENT CO OPERATIVE BANK LTD. KANPUR","DEVX"
"416","TELANGANA GRAMEENA BANK","DGBX"
"417","THE DHANBAD CENTRAL COOPERATIVE BANK LTD.","DHBX"
"418","DISTRICT CO OPERATIVE BANK LTD. BARABANKI","DIBX"
"419","THE DECCAN MERCHANTS CO-OPERATIVE BANK LTD.","DMCB"
"420","DMK JAOLI BANK","DMKB"
"421","DOMBIVILI NAGARI SAHAKARI BANK LTD.","DNSB"
"422","DEENDAYAL NAGARI SAHAKARI BANK LTD.","DNSX"
"423","THE DELHI STATE COOPERATIVE BANK LIMITED","DSCB"
"424","DISTRICT CO OPERATIVE BANK LTD. SAHARANPUR","DSHX"
